color,color_name,hex,R,G,B
1,Black,#000000,0,0,0
2,White,#FFFFFF,255,255,255
3,Red,#FF0000,255,0,0
4,Lime,#00FF00,0,255,0
5,Blue,#0000FF,0,0,255
6,Yellow,#FFFF00,255,255,0
7,Cyan,#00FFFF,0,255,255
8,Magenta,#FF00FF,255,0,255
9,Silver,#C0C0C0,192,192,192
10,Gray,#808080,128,128,128
11,Maroon,#800000,128,0,0
12,Olive,#808000,128,128,0
13,Green,#008000,0,128,0
14,Purple,#800080,128,0,128
15,Teal,#008080,0,128,128
16,Navy,#000080,0,0,128
17,Orange,#FFA500,255,165,0
18,Brown,#A52A2A,165,42,42
19,Gold,#FFD700,255,215,0
20,Pink,#FFC0CB,255,192,203
